ID,TIPO,AUTORE,CURATORE,TITOLO VOLUME/RIVISTA,TITOLO CONTRIBUTO SPECIFICO,PAGINE,EDITORE,LUOGO EDIZIONE,ANNO,SPECIFICHE EDIZIONE,NOTE GENERALI,URL TESTO ONLINE,,,,
M49,Monografia,,Roversi G.,Il Palazzo Grassi in Bologna,,,Re Enzo Editrice,Bologna,1994,,,,,,,
AM33,Saggio in volume,Gentilini G.,"Adani G., Gentilini G., Grimaldi Fava C.",La Madonna del presepe. Da Donatello a Guercino: Una devozione antica e nuova nella terra di Cento,La Madonna del presepe ed altre immagini mariane tra Donatello e compagni,109-142,Minerva,Bologna,2007,,,,,,,
SC6,Scheda di catalogo,Sarchi A.,"Bonsanti G., Piccinini F.","Emozioni in terracotta, Guido Mazzoni Antonio Begarelli. Sculture del Rinascimento emiliano",Niccolò dell’Arca. San Domenico. Cat 11,113-114,Panini Editore,Modena,2009,,"Catalogo della mostra tenuta a Modena, Foro Boario, 20 marzo - 7 giugno 2009",,,,,
AP61,Articolo in periodico,Filippini F.,,Dedalo,Baccio da Montelupo in Bologna,527-542,,,1927/1928,8,,,,,,
AP62,Articolo in periodico,Lucidi D.,,Nuovi Studi,Contributi a Baccio da Montelupo scultore in terrcotta,51-101,,,2013,18,,,,,,
M50,Monografia,Alce V.,,La Basilica di San Domenico in Bologna,,,Edizioni Studio Domenicano,Bologna,1994,,,,,,,
AM34,Saggio in volume,Turner J.D.,Barocchi P.,Il Giardino di San Marco. Maestri e compagni del giovane Michelangelo,Baccio da Montelupo. Cat. 25,119-120,Silvana Editoriale,Firenze,1992,,"Catalogo della mostra (Firenze, 30 giugno-19 ottobre 1992)",,,,,
AP63,Articolo in periodico,Ranzolin P.,,Intrecci d'arte,Vincenzo Onofri: una revisione del percorso artistico di un protagonista del Rinascimento bolognese,19-44,,,2019,8,,,,,,
AP64,Articolo in periodico,Giannotti A.,,Notizie da Palazzo Albani,Alcune proposte per la scultura emiliana del Cinquecento,109-119,,,1993/2000 (2001),22/29,,,,,,
AP65,Articolo in periodico,D'Amico R.,,Strenna storica bolognese,Vincenzo Onofri in S. Petronio,103-114,,,1991,41,,,,,,
AP66,Articolo in periodico,Morra E.,,Il Carrobbio,Per il percorso artistico di Vincenzo Onofri,181-196,,,1985,11,,,,,,
AM35,Saggio in volume,Cova P.,Parada López de Corselas M.,"Domus Hispanica, el Real Colegio de España y el cardenal Gil de Albornoz en la historia del arte","Il busto del Cardinale Albornoz de Real Colegio di Spagna: ipotesi per un’opera ""poco nota"" di Vincenzo Onofri e alcune considerazioni sulla sua produzione plastica al tempo dei Bentivoglio",347-358,Bononia University Press,Bologna,2018,,"Congreso Internacional de Historia del Arte y Arqueología, 2., 2015, Bologna, Colegio de San Clemente de los Españoles, Bologna",,,,,
AP68,Articolo in periodico,Parmiggiani P.,,Prospettiva,Francesco di Simone Ferrucci tra Bologna e Roma: i sepolcri di Alessandro Tartagni e Vianesio Albergati seniore (con un’ipotesi per quello di Francesca Tornabuoni),73-97,,,2004 (2005),112/114,,,,,,
AP69,Articolo in periodico,Gnudi C.,,Bollettino d'arte,Acquisti dei musei e gallerie dello Stato,222,,,1968,LIII,,,,,,
SC7,Scheda di catalogo,Serrani A.,"Benati D., Pacelli M.L., Rossoni E.",Giulio II e Raffaello. Una nuova stagione del Rinascimento a Bologna,Vincenzo Onofri. Busto di Alberto Magno. II.4,72,Silvana Editoriale,Bologna,2022,,"Catalogo della mostra (Bologna, Pinacoteca Nazionale, 8 ottobre 2022 - 5 febbraio 2023)",,,,,
AM36,Saggio in volume,D'Amico R.,"Agostini G., Ciammitti L.",Niccolò dell'Arca: seminario di studi,Vincenzo Onofri tra pittura e scultura: un'indagine sulla policromia in terracotte bolognesi,121-138,Nuova Alfa Editoriale,Bologna,1989,,,,,,,
SC8,Scheda di catalogo,Buganza S.,"Dionigi R., Ferro F.M.",Teatri del sacro e del dolore: i Compianti in legno e terracotta in Lombardia e Piemonte tra Quattrocento e Cinquecento,Vincenzo Onofri. Cristo morto. N.3,154-156,Edizioni dei Soncino,Soncino (CR),2020,,,,,,,
M51,Monografia,,"Buganza S., Rossi M.",Il Compianto su Cristo morto nella chiesa del Carmine in Brescia,,,Associazione Amici Chiesa del Carmine,Brescia,2009,,,,,,,
AM37,Saggio in volume,Buganza S.,"Buganza S., Rossi M.",Il Compianto su Cristo morto nella chiesa del Carmine in Brescia,"Il ""Compianto su Cristo morto"" del Carmine: materiali di studio",31-63,Associazione Amici Chiesa del Carmine,Brescia,2009,,,,,,,
AM38,Saggio in volume,Buganza S.,"Albertini Ottolenghi M.G, Basso L.",Terrecotte nel Ducato di Milano. Artisti e cantieri del primo Rinascimento,La terracotta a Brescia tra Quattro e Cinquecento,379-390,Edizioni ET,Milano,2013,,"Atti del Convegno (Milano e Certosa di Pavia, 17-18 ottobre 2011)",,,,,
AP70,Articolo in periodico,Buganza S.,"Buganza S., Rainini M.",Memorie domenicane,La decorazione pittorica del complesso conventuale delle Grazie tra la fine del XV e gli inizi del XVI secolo,"327-346, 557-569",,,2016 (2017),47,"Parte del volume monografico ""Il Convento di Santa Maria delle Grazie a Milano. Una storia dalla fondazione a metà del Cinquecento"". Atti del Convegno (Milano, 22-24 maggio 2014)",,,,,
SC9,Scheda di catalogo,Galassi C.,Sgarbi V.,Da Cimabue a Morandi. Felsina Pittrice,Niccolò dell'Arca. San Domenico. N.16,82-87,Bononia University Press,Bologna,2015,,"Catalogo della mostra (Bologna, Palazzo Fava, Pinacoteca Nazionale, Palazzo delle Esposizioni, 14 febbraio-17 maggio 2015)",,,,,
M52,Monografia,,"Facchini O., Bentivogli I.",Andar per santuari. 50 santuari mariani bolognesi,,,Rastignano,Bologna,1995,,,,,,,
AM39,Saggio in volume,Matteucci A.M,Fasoli G.,Vitale e Agricola. Il culto dei protomartiri di Bologna attraverso i secoli. Nel XVI centenario della traslazione,I molti problemi della cappella di Santa Maria degli Angeli,137-138,EDB,Bologna,1993,,,,,,,
AM40,Saggio in volume,Ferretti M.,,Battistero di Parma. La decorazione pittorica,"Gli affreschi del Trecento. Pittori a Parma, pittori di Parma",137-216,Franco Maria Ricci,Milano,1993,,,,,,,
AM41,Saggio in volume,Gentilini G.,Romano G.,Da Biduino all'Algardi. Pittura e scultura a confronto,"Michele da Firenze, San Leonardo",25-38,Allemandi,Torino,1990,,Catalogo della mostra Torino 12 maggio - 23 giugno 1990,,,,,
AP71,Articolo in periodico,Rosa B.,,Bollettino d'arte,Indagini sull’attività mantovana di Michele da Firenze e il suo lascito,,,,2024,in cds,,,,,,
M53,Monografia,Ozzola L.,,Il museo d’arte medievale e moderna del Palazzo Ducale di Mantova,,,"Stabilimento tipografico ""l'industriale""",Mantova,1950,,,,,,,
AP72,Articolo in periodico,Scansani M.,,Storia dell'arte,Una nuova traccia di Michele da Firenze nel Mantovano,7-16,,,2018,146/148,,,,,,
M54,Monografia,Palvarini Gobio Casali M.R.,,Ceramiche d’arte e devozione popolare in territorio mantovano,,,Publi Paolini,Mantova,2000,,,,,,,
AM42,Saggio in volume,"Cavazzini L., Galli A.","Gentilini G., Scardino L.",Crocevia Estense: contributi per la storia della scultura a Ferrara nel XV secolo,"Scultori a Ferrara al tempo di Niccolò III, in Crocevia estense: contributi per la storia della scultura a Ferrara nel XV secolo",6-87,Liberty House,Ferrara,2007,,,,,,,
SC10,Scheda di catalogo,Rosa B.,L'Occaso S.,Pisanello: il tumulto del mondo,"Michele da Firenze, Cristo in pietà",148-149,Electa,Milano,2022,,,,,,,
AM43,Saggio in volume,Cavazzini L.,L'Occaso S.,Pisanello: il tumulto del mondo,"Pisanello e gli scultori, tra Verona e Mantova",34-43,Electa,Milano,2022,,,,,,,
AP73,Articolo in periodico,Scansani M.,,Nuovi Studi,Un inedito Cristo deposto e altre opere dello scultore di Andrea Mantegna,67-87,,,2024,XXVIII,,,,,,
M55,Monografia,,Marani E. Perina C.,Mantova: le arti,,,Istituto Carlo d'Arco per la storia di Mantova,Mantova,1961,II,,,,,,
AP74,Articolo in periodico,L'Occaso S.,,Vitelliana,"Elia della Marra, un plasticatore mantovano del secondo Quattrocento",35-56,,,2009,4,,,,,,
SC11,Scheda di catalogo,Zurla M.,"Dionigi R., Ferro F.M.",Teatri del sacro e del dolore: i Compianti in legno e terracotta in Lombardia e Piemonte tra Quattrocento e Cinquecento,Elia della Marra. Compianto sul corpo di Cristo. N.14,156-157,Edizioni dei Soncino,Soncino (CR),2020,,,,,,,
AP75,Articolo in periodico,Pelati P.,,Quadrante padano,Due Madonne,36-37,,,1991,"XII, 3",,,,,,
AM44,Saggio in volume,L'Occaso S.,"Piccinelli R., Shemek D., Tamassia L.O.",Itinera chartarum: 150 anni dell’Archivio di Stato di Mantova,Fonti archivistiche per la scultura a Mantova nella seconda metà del Quattrocento (1460-1506),270-281,Silvana,Cinisello Balsamo,2019,,,,,,,
M56,Monografia,L'Occaso S.,,Fonti archivistiche per le arti a Mantova tra Medioevo e Rinascimento (1382-1459),,,Arcari,Mantova,2005,,,,,,,
AP76,Articolo in periodico,Pelati P.,,Civiltà mantovana,Casaletto del Fissero: una possessione della chiesa mantovana ai margini di un insigne monastero,252-262,,,1971,5,,,,,,
M57,Monografia,"Mantovani G., Mantovani F.",,"La Chiesa parrocchiale di Castel d'Ario. Storia, arte, protagonisti dal Cinquecento ai giorni nostri",,,Sometti,Mantova,2002,,,,,,,
AP77,Articolo in periodico,Trevisan D.,,Arte Lombarda,"Un’inedita ""Madonna con il Bambino"" di Elia della Marra presso Corte Le Pezze a Castel d’Ario nel Mantovano",167-171,,,2021,1/2,,,,,,
AP78,Articolo in periodico,Gramaccini N.,,Revue de l'art,La deploration de Nicolò dell'Arca,21-34,,,1983,62,,,,,,
SC12,Scheda di catalogo,Negrelli G.,Sgarbi V.	,La scultura al tempo di Andrea Mantegna: tra classicismo e naturalismo,Elia della Marra. Madonna col Bambino in trono,120-121,Electa,Milano,2006,,Catalogo della mostra tenuta a Mantova (Castello S. Giorgio e Palazzo S. Sebastiano) nel 2006-2007,,,,,
M58,Monografia,Negrelli V.,,Oratori e Capitelli. La devozione popolare nel territorio di Pegognaga,,,,Pegognaga,2001,,,,,,,
AP79,Articolo in periodico,Roversi G.,,Il Servo,L'edicola in cotto con la Vergine fra i santi Lorenzo ed Eustachio di Vincenzo Onofri,28-29,,,1968,febbraio,,,,,,
M59,Monografia,Ricci C.,Zucchini G.,Guida di Bologna,,,Minerva,Bologna,2002,,,,,,,
AM45,Saggio in volume,Brugnoli Pace M. V.,"Bellosi L., Lucioli S.",La Basilica di S. Petronio,Problemi di scultura cinquecentesca,,Silvana Editoriale,Milano,1984,II,,,,,,
M60,Monografia,Bode W.,,Die italienische Plastik,,,Spemann,Berlin,1891,,,,,,,
M61,Monografia,Schubring P.,,Die italienische Plastik des Quattrocento,,,Akad. Verl.-Ges. Athenaion,Berlin-Neubabelsberg,1919,,,,,,,
AP81,Articolo in periodico,Rubbiani A.,,Archivio storico dell'arte,Un’opera ignorata di Vincenzo Onofri,243-246,,,1895,I,,,,,,
M62,Monografia,Palvarini Gobio Casali M.R.,,Ceramiche mantovane,,,Museo Diocesano Francesco Gonzaga,Mantova,2016,,,,,,,
AP82,Articolo in periodico,Costa T.,,Rassegna d'arte,Un monumento sepolcrale della Rinascenza,56-58,,,1906,IV,,,,,,
M63,Monografia,,Bresc-Bautier G.,Les sculptures européennes du musée du Louvre,,,Somogy Éditions d’Art,Paris,2006,,,,,,,
SC13,Scheda di catalogo,Bernardini C.,Grandi R.,Museo civico d’arte industriale e galleria Davia-Bargellini,Busto di Virgilio Bargellini,138,Comune di Bologna,Bologna,1987,,,,,,,
AM46,Saggio in volume,Cova P.,,Domus Ispanica: El Real Colegio de España y el cardenal Gil de Albornoz en la historia del arte,Il busto del Cardinale 'Gil' Albornoz del Real Colegio di Spagna: qualche ipotesi su un capolavoro “poco noto” della giovinezza dell'Onofri e alcune considerazioni sulla sua produzione plastica al tempo dei Bentivoglio,347-358,Bononia University Press,Bologna,2018,,,,,,,
M64,Tesi,Rosa B.,,Terrecotte mantovane del Quattrocento,,,Università di Trento,,2020/2021,"Tesi di laurea magistrale, relatore Aldo Galli",,,,,,
AM47,Saggio in volume,Ottani Cavina A.,Volpe C.,ll tempio di S. Giacomo Maggiore in Bologna,La Cappella Bentivoglio,117-128,Padri Agostiniani di San Giacomo Maggiore,Bologna,1967,,,,,,,
AM48,Saggio in volume,Foratti A.,Rivista d'arte,Miscellanea di storia dell’arte in onore di Igino Benvenuto Supino,L’attività di Pagno di Lapo Portigiani in Bologna,353-373,Olschki,Firenze,1933,,,,,,,
AM49,Saggio in volume,Hubert H.W.,Ricci M.,L’architettura a Bologna nel Rinascimento (1460-1550): centro o periferia?,L’architettura bolognese del primo Rinascimento: osservazioni e problemi,29-46,Minerva,San Giorgio di Piano,2002,,"Atti della giornata di studi, Bologna, 2 marzo 2001",,,,,
M65,Monografia,,,Luoghi e immagini della devozione popolare nel Vicariato di Suzzara,,,Publi Paolini,Suzzara,1985,,,,,,,
AP83,Articolo in periodico,Fabriczy C. von,,Jahrbuch der königlich preussischen Kunstsammlungen,Pagno di Lapo Portigiani,3-26,,,1904,XXIV,,,,,,
M66,Monografia,Pegan De Paganis M.,,Cornici in terracotta in Bologna,,,Camilla e Bertolero,Torino,1880,,,,,,,
AP84,Articolo in periodico,Malaguzzi Valeri F.,,Archivio storico dell'arte,La chiesa e il portico di S. Giacomo in Bologna,317-334,,,1894,"VII, V",,,,,,
AP85,Articolo in periodico,Mengoli L.,,Rassegna della Istruzione Artistica,Le terrecotte bolognesi,98-112,,,1927,,,,,,,
M68,Monografia,,"Susini G., Pincelli R.",Le collezioni del Museo Civico di Bologna: il lapidario,,,,Bologna,1960,,,,,,,
M69,Monografia,,"Bocchi F., Benati A.",I portici di Bologna e l'edilizia civile medievale,,,Grafis,Casalecchio di Reno,1990,,,,,,,
M70,Monografia,Bettini S.,,Il palazzo dei Diamanti a Bologna. La committenza artistica di Nicolò Sanuti nell'età dei Bentivoglio,,,Diabasis,Parma,2017,,,,,,,
M71,Monografia,,"Calogero M., Giannotti A.",Alfonso Lombardi. Il colore e il rilievo,,,NFC edizioni,Rimini,2020,,,,,,,
M72,Monografia,Campanini G.,,Alfonso Lombardi: lo scultore a Bologna,,,Editrice Compositori,Bologna,2007,,,,,,,
AM50,Saggio in volume,Negretti I.,"Medica M., D'Apuzzo M. G.",Tra la vita e la morte: due confraternite bolognesi tra Medioevo e età moderna,Il funerale della Vergine di Alfonso Lombardi,103-105,Silvana Editoriale,"Cinisello Balsamo, Milano",2015,,,,,,,
AP86,Articolo in periodico,Fanti M.,,Atti e Memorie della Deputazione di Storia Patria per le province di Romagna,"I ""Funerali della Vergine"" di Alfonso Lombardi nell'oratorio di S. Maria della Vita: iconografia antiebraica certamente, ma anche altro; per una lettura protratta nel tempo",269-292,,,2014 (2015),64,,,,,,
AP87,Articolo in periodico,Calogero M.,,Paragone,Alfonso Lombardi a Santa Maria della Vita: per una rilettura stilistica,3-24;,,,2018,"69, 138 (817)",,,,,,
AP88,Articolo in periodico,Medri G.,,Atti e Memorie della Deputazioneprovinciale ferrarese di Storia Patria,La scultura a Ferrara,,,,1957,17-18,,,,,,
M73,Monografia,Gramaccini N.,,Alfonso Lombardi,,,Lang,Frankfurt am Main-Cirencester,1980,,,,,,,
AP89,Articolo in periodico,Turill K.,,The Art Bulletin,Gian Maria Riminaldi and the Affair of the Busts,441-452,,,1992,"74, 3",,,,,,
M74,Monografia,Lucidi D.,,Alfonso Lombardi e il Salvator Mundi,,,Bacarelli Botticelli,Firenze,2018,,,,,,,
AP90,Articolo in periodico,Sinigalliesi D.,,Strenna storica bolognese,Il compianto di A. Lombardi e i dipinti di G.B. Cremonini,48-56,,,1995,45,,,,,,
AP91,Articolo in periodico,Zanotti A.,,Strenna storica bolognese,"L'originaria collocazione del ""Compianto"" di Alfonso Lombardi",57-63,,,1995,45,,,,,,
AP92,Articolo in periodico,Fortunati Pietrantonio V.,,Itinerari,"Le radici ferraresi di Alfonso Lombardi: i ""Santi Protettori"" del voltone del Podestà a Bologna",49-55,,,1981,2,,,,,,
AP93,Articolo in periodico,Bergonzoni F.,,Strenna storica bolognese,I quattro santi protettori di Bologna. Vicende e restauri del Voltone del Podestà,43-70,,,1976,,,,,,,
AP94,Articolo in periodico,Bergonzoni F.,,Bologna. Mensile dell'Amministrazione comunale,Sotto il voltone del Podestà il più vecchio portico di Bologna,60-61,,,1990,6-9;,,,,,,
M75,Monografia,Faranda F.,,Alfonso Lombardi: il restauro delle sculture in cotto di Castel Bolognese,,,Itaca,Castel Bolognese,1999,,,,,,,
SC14,Scheda di catalogo,Lucidi D.,Sgarbi V.,Da Cimabue a Morandi. Felsina Pittrice,Alfonso Lombardi. Cristo Salvatore. N. 22,73,Bononia University Press,Bologna,2015,,,,,,,
SC15,Scheda di catalogo,Sinigalliesi D.,"Bonsanti G., Piccinini F.","Emozioni in terracotta, Guido Mazzoni Antonio Begarelli. Sculture del Rinascimento emiliano",Alfonso Lombardi. Cristo Salvatore. Cat. 31,154-156,Panini Editore,Modena,2009,,"Catalogo della mostra tenuta a Modena, Foro Boario, 20 marzo - 7 giugno 2009",,,,,
SC16,Scheda di catalogo,Sinigalliesi D.,"Bonsanti G., Piccinini F.","Emozioni in terracotta, Guido Mazzoni Antonio Begarelli. Sculture del Rinascimento emiliano",Alfonso Lombardi. Testa di Cristo. Cat. 33,157,Panini Editore,Modena,2009,,"Catalogo della mostra tenuta a Modena, Foro Boario, 20 marzo - 7 giugno 2009",,,,,
AP95,Articolo in periodico,"Donati V., Casadio R.",,CeramicAntica,Le terrecotte di Alfonso Lombardi in San Petronio di Castel Bolognese,,,,1992,"2, 9",,,,,,
SC17,Scheda di catalogo,Annibali L.,"Bacchi A., Paolucci A., Benati D.",L'Eterno e il Tempo tra Michelangelo e Caravaggio,Alfonso Lombardi. Madonna e San Giovanni Evangelista. Cat. 12,351-352,Silvana Editoriale,Cinisello Balsamo,2018,,"Catalogo della mostra (Forlì, Musei di San Domenico, febbraio-giugno 2018)",,,,,
M76,Monografia,,"Sarnecka Z., Dziki A.",The Materiality of Terracotta Sculpture in Early Modern Europe,,,Taylor & Francis Group,"New York, London: Routledge",2023,,,,,,,
AM51,Saggio in volume,Calogero M.,"Calogero M., Gasparotto D., Minardi M, Ravanelli Guidotti C., Tambini A.",Storia delle arti figurative a Faenza. Il Cinquecento,Alfonso Lombardi a Faenza,206-227,EditFaenza,Faenza,2023,,,,,,,
M77,Monografia,Calogero M.,,Alfonso Lombardi e i materiali della scultura,,,Tipografia Editrice Temi,Trento,2024,,,,,,,
M78,Monografia,Cavatorta L.,,"Inventario dei luoghi minori di culto del viadanese (con esposizione ordinata dei fatti). Parte terza, i conventi e le loro chiese",,,,Viadana,2001,,,,,,,
AP96,Articolo in periodico,Bode W.,,Jahrbuch der Königlich Preussischen Kunstsammlungen,Die italienischen Skulpturen der Renaissance in den Königlichen Museen zu Berlin. VI. Die florentiner Marmorbildner in der zweiten Hälfte des Quattrocento,23-39,,,1886,VII,,,,,,
M79,Monografia,Belli E.,Nesi A.,Madonne Bardini: i rilievi mariani del secondo Quattrocento fiorentino/Madonna reliefs from the second half of the Florentine Quattrocento,,,Centro Di,Firenze,2017,,,,,,,
SC18,Scheda di catalogo,Signorini R.,Signorini R.,A casa di Andrea Mantegna. Cultura artistica a Mantova nel Quattrocento,Andrea Mantegna (?). Cristo risorto,480-481,Silvana,Milano,2006,,,,,,,
M79,Monografia,Palvarini Gobio Casali M.R.,,La ceramica a Mantova,,,Belriguardo,Ferrara,1987,,,,,,,
SC19,Scheda di catalogo,Quinterio F.,Gentilini G.,I Della Robbia e l'arte nuova della scultura invetriata,Stemma di Gabriele Ginori. Cat. II.38,238-239,Giunti,Firenze,1998,,,,,,,
M80,Monografia,Casadei S.,,Pinacoteca di Faenza,,,Calderini,Bologna,1991,,,,,,,
SC20,Scheda di catalogo,Sinigalliesi D.,"Bonsanti G., Piccinini F.","Emozioni in terracotta, Guido Mazzoni Antonio Begarelli. Sculture del Rinascimento emiliano",Alfonso Lombardi. Busto maschile. Cat. 32,156-157,Panini Editore,Modena,2009,,"Catalogo della mostra tenuta a Modena, Foro Boario, 20 marzo - 7 giugno 2009",,,,,
M81,Monografia,Pope-Hennessy J.W.,,Catalogue of Italian sculpture in the Victoria and Albert Museum,,,Her Majesty’s Stationery Office,London,1964,,,,,,,
M82,Monografia,,Roversi G.,Il Palazzo Salina Amorini Bolognini. Storia e restauro,,,Grafis,Bologna,1994,,,,,,,
M83,Monografia,Gennari G.,,"Zaccaria Zacchi scultore volterrano, 1473-1544",,,Ed. Alfa,Bologna,1958,,,,,,,
AM52,Saggio in volume,Bacchi A.,Castelnuovo E.,Il castello del Buonconsiglio. Percorso nel Magno Palazzo,«Zaccaria Zacchi eccellente statuario»,263-295,Temi Editrice,Trento,1995,I,,,,,,
M84,Monografia,Covi C.,,"Zaccaria Zacchi scultore: Volterra, Bologna, Trento, Roma 1473-1544",,,La Grafica,Mori,1982,,,,,,,
AP97,Articolo in periodico,Lucidi D.,,Nuovi Studi,Zaccaria Zacchi volterrano: una nota sulla formazione e qualche aggiunta al catalogo dello scultore,133-166,,,2012,17,,,,,,
SC22,Scheda di catalogo,Calogero M.,"Calogero M., Giannotti A.",Alfonso Lombardi. Il colore e il rilievo,Alfonso Lombardi. Apostoli. Cat. 15,130-133,NFC edizioni,Rimini,2020,,,,,,,
SC23,Scheda di catalogo,Lucidi D.,"Calogero M., Giannotti A.",Alfonso Lombardi. Il colore e il rilievo,Alfonso Lombardi. Busto raffigurante il Salvatore. Cat. 17,137-139,NFC edizioni,Rimini,2020,,,,,,,
SC24,Scheda di catalogo,Lucidi D.,"Calogero M., Giannotti A.",Alfonso Lombardi. Il colore e il rilievo,Alfonso Lombardi. Testa virile. Cat. 16,134-136,NFC edizioni,Rimini,2020,,,,,,,
SC25,Scheda di catalogo,Calogero M.,"Calogero M., Giannotti A.",Alfonso Lombardi. Il colore e il rilievo,Alfonso Lombardi. San Giovanni e Maria Vergine. Cat. 20,147-150,NFC edizioni,Rimini,2020,,,,,,,
SC26,Scheda di catalogo,Calogero M.,"Calogero M., Giannotti A.",Alfonso Lombardi. Il colore e il rilievo,Alfonso Lombardi. San Girolamo. Cat. 21,151-153,NFC edizioni,Rimini,2020,,,,,,,
SC27,Scheda di catalogo,Giannotti A.,"Calogero M., Giannotti A.",Alfonso Lombardi. Il colore e il rilievo,Alfonso Lombardi. San Girolamo in preghiera. Cat. 22,156-158,NFC edizioni,Rimini,2020,,,,,,,
SC28,Scheda di catalogo,Paccagnini G.,Paccagnini G.,Andrea Mantegna,"Andrea Mantegna. Evangelista, S. Pietro, S. Paolo, Angelo Annunziante, Vergine Annunziata. Cat. 103-107",148-150,Neri Pozza,Venezia,1961,,"Catalogo della mostra tenuta a Mantova, settembre-ottobre 1961",,,,,
AP98,Articolo in periodico,Bacchi A.,,Nuovi Studi,Da Gian Cristoforo Romano ad Alessandro Menganti: note sulla scultura del Cinquecento a Bologna,65-91,,,1996,1,,,,,,
AP99,Articolo in periodico,Cammarota G. P.,,Accademia Clementina. Atti e Memorie,"La ""Pietà"" del Monte di Bologna",27-46,,,1988,23,,,,,,
SC29,Scheda di catalogo,Furlan I.,Sgarbi V.,La scultura al tempo di Andrea Mantegna: tra classicismo e naturalismo,"Scultori padovani o mantovani. Angelo annunziante, Vergine, San Paolo, San Pietro, Evangelista",126,Electa,Milano,2006,,Catalogo della mostra tenuta a Mantova (Castello S. Giorgio e Palazzo S. Sebastiano) nel 2006-2007,,,,,
SC30,Scheda di catalogo,Casarin R.,"Rykwert J., Engel A.",Leon Battista Alberti,Luca Fancelli (area di). Testina d'angelo. Cat. 123,517-519,Olivetti/Electa,Milano,1994,,"Catalogo della Mostra tenuta a Mantova (Palazzo Te), 10 settembre 1994 - 11 dicembre 1994",,,,,
AP100,Articolo in periodico,Volpi Ghirardini L.,,Atti e memorie,"La ‘porta dei sette cieli’, numeri e geometrie del portico principale di Sant’Andrea in Mantova",37-72,,,1993,61,,,,,,
AP101,Articolo in periodico,,Fanti M.,Strenna storica bolognese,"Bologna 1588: la famiglia Manzoli e la ""cantonata"" del muro di cinta del monastero del Corpus Domini",143-157,,,2018,68,,,,,,
M85,Monografia,,"Bacchi A., Tumidei S.",Michelangelo incognito. Alessandro Menganti e le arti a Bologna nell'età della Controriforma,,,Edisai,Ferrara,2002,,,,,,,
SC29,Scheda di catalogo,Bacchi A.,"Bacchi A., Tumidei S.",Michelangelo incognito. Alessandro Menganti e le arti a Bologna nell'età della Controriforma,Alessandro Menganti. Sant'Apollonia. Cat. 30,201-204,Edisai,Ferrara,2002,,,,,,,
SC30,Scheda di catalogo,Bacchi A.,"Bacchi A., Tumidei S.",Michelangelo incognito. Alessandro Menganti e le arti a Bologna nell'età della Controriforma,Alessandro Menganti. Santa Maria Maddalena. Cat. 31,201-204,Edisai,Ferrara,2002,,,,,,,
SC31,Scheda di catalogo,Bacchi A.,"Bacchi A., Tumidei S.",Michelangelo incognito. Alessandro Menganti e le arti a Bologna nell'età della Controriforma,Alessandro Menganti. Pietà. Cat. 32,205-208,Edisai,Ferrara,2002,,,,,,,
SC32,Scheda di catalogo,Bacchi A.,"Bacchi A., Tumidei S.",Michelangelo incognito. Alessandro Menganti e le arti a Bologna nell'età della Controriforma,Alessandro Menganti. Ritratto d'uomo barbuto. Cat. 29,199-200,Edisai,Ferrara,2002,,,,,,,
AM54,Saggio in volume,Laschke-Hubert B.,,"Il restauro del Nettuno, la statua di Gregorio XIII e la sistemazione di piazza Maggiore nel Cinquecento","""Alexander Mengantius pinxit"": la statua di Gregorio XIII e altre opere del ""Michelangelo incognito"" Bolognese",253-296,Minerva,Bologna,1999,,,,,,,
M86,Monografia,Greco Grassilli R.,,S. Rocco nel Pratello. Storia e arte a Bologna,,,Arnaldo Forni Editore,Bologna,2000,,,,,,,
AM55,Saggio in volume,Lorenzetti C.,Greco Grassilli R.,S. Rocco nel Pratello. Storia e arte a Bologna,Gruppo scultoreo della Pietà di Alessandro Menganti. Tra oblio e recupero,,Arnaldo Forni Editore,Bologna,2000,,,,,,,
M87,Monografia,Greco Grassilli R.,,La confraternita di S. Rocco in capo al Pratello di Bologna,,,,Bologna,1990,,,,,,,
M88,Monografia,Scipione Maffei R.,,"Giovanni di Zaccaria Zacchi, scultore volterrano (1512-1565). Piccolo contributo alla storia dell'arte del secolo XVI",,,Giuseppe Grieco Editore,Melfi,1906,,,,,,,
AP102,Articolo in periodico,Rossi U.,,Archivio storico dell'arte,Zaccaria e Giovanni Zacchi da Volterra,67-72,,,1890,III,,,,,,
AP103,Articolo in periodico,Filippini F.,,Il Comune di Bologna,Il progetto di una statua di Giulio III nella facciata del palazzo pubblico in Bologna,58-62,,,1931,2,,,,,,
AM56,Articolo in periodico,Roversi G.,,L'Archiginnasio,Le opere d'arte della famiglia Gozzadini nella basilica dei servi in Bologna,242-249,,,1967,LXII,,,,,,
AP105,Articolo in periodico,Cammarota G. P.,,Accademia Clementina. Atti e Memorie,"Gabriele Fiorini, uno scultore all'Accademia degli Incamminati",34-46,,,1986,XIX,,,,,,
AM58,Saggio in volume,Algeri G.,"Fusari G., Rossi M.","Sulle tracce di Mantegna: Zebellana, Giolfino e gli altri: sculture lignee tra Lombardia e Veneto",Note attorno ad un gruppo in terracotta: il compianto sul Cristo morto,57-61,Gruppo San Luca Onlus, Castel Goffredo,2004,,,,,,,
